50,0016,Abanto
50,0021,Acered
50,0037,Agón
50,0042,Aguarón
50,0055,Aguilón
50,0068,Ainzón
50,0074,Aladrén
50,0080,Alagón
50,0093,Alarba
50,0107,Alberite de San Juan
50,0114,Albeta
50,0129,Alborge
50,0135,Alcalá de Ebro
50,0140,Alcalá de Moncayo
50,0153,Alconchel de Ariza
50,0166,Aldehuela de Liestos
50,0172,Alfajarín
50,0188,Alfamén
50,0191,Alforque
50,0205,Alhama de Aragón
50,0212,Almochuel
50,0227,Almolda (La)
50,0233,Almonacid de la Cuba
50,0248,Almonacid de la Sierra
50,0251,Almunia de Doña Godina (La)
50,0264,Alpartir
50,0270,Ambel
50,0286,Anento
50,0299,Aniñón
50,0303,Añón de Moncayo
50,0310,Aranda de Moncayo
50,0325,Arándiga
50,0331,Ardisa
50,0346,Ariza
50,0359,Artieda
50,0362,Asín
50,0378,Atea
50,0384,Ateca
50,0397,Azuara
50,0401,Badules
50,0418,Bagüés
50,0423,Balconchán
50,0439,Bárboles
50,0444,Bardallur
50,0457,Belchite
50,0460,Belmonte de Gracián
50,0476,Berdejo
50,0482,Berrueco
50,9017,Biel
50,0508,Bijuesca
50,0515,Biota
50,0520,Bisimbre
50,0536,Boquiñeni
50,0541,Bordalba
50,0554,Borja
50,0567,Botorrita
50,0573,Brea de Aragón
50,0589,Bubierca
50,0592,Bujaraloz
50,0606,Bulbuente
50,0613,Bureta
50,0628,Burgo de Ebro (El)
50,0634,Buste (El)
50,0649,Cabañas de Ebro
50,0652,Cabolafuente
50,0665,Cadrete
50,0671,Calatayud
50,0687,Calatorao
50,0690,Calcena
50,0704,Calmarza
50,0711,Campillo de Aragón
50,0726,Carenas
50,0732,Cariñena
50,0747,Caspe
50,0750,Castejón de Alarba
50,0763,Castejón de las Armas
50,0779,Castejón de Valdejasa
50,0785,Castiliscar
50,0798,Cervera de la Cañada
50,0802,Cerveruela
50,0819,Cetina
50,0922,Chiprana
50,0938,Chodes
50,0824,Cimballa
